RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024
2556,439,Stafford County,county,VA,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,179,1459.326471,1461.790715,1474.852323,1490.782676,1495.336387,1502.255076,1498.564755,1500.845748,1492.630709,1496.024185,1504.918867,1510.010822,1499.726895,1486.418642,1490.488357,1504.039616,1517.644914,1524.691942,1528.373931,1530.385932,1530.065329,1529.561932,1510.032019,1508.692713,1509.120555,1536.791945,1537.85281,1554.492103,1559.623145,1571.98627,1569.363081,1565.762044,1565.097868,1565.515027,1568.369826,1565.022739,1558.652598,1560.113871,1572.986052,1593.637519,1600.48364,1599.880437,1594.584832,1599.471965,1599.18622,1598.836755,1603.547891,1619.546299,1626.800834,1629.063773,1630.958983,1641.293233,1652.421805,1641.989637,1659.797331,1662.167249,1664.503556,1652.354943,1640.161089,1656.148249,1656.983451,1667.789676,1668.900767,1679.278307,1688.125298,1699.455447,1705.030314,1718.580532,1717.245722,1718.655226,1730.795119,1753.341649,1764.055507,1775.430048,1776.918348,1806.641391,1824.744202,1875.489016,1892.875155,1935.269062,1949.265824,1976.505944,1971.441623,1968.031955,1981.187032,1992.837543,2021.247123,2043.712662,2068.263504,2100.860666,2120.982537,2137.818106,2117.360932,2108.188008,2087.866267,2075.618968,2093.332948,2140.09441,2172.812206,2187.499565,2181.1624,2205.18184,2190.628696,2198.686696,2168.244166,2206.255201,2213.171863,2253.598315,2235.243759,2235.168508,2260.758066,2296.9332,2336.996964,2361.043185
1220,440,Monroe County,county,MI,MI,"Monroe, MI",26,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989.8066989,1028.259138,1051.123778,1069.60372,1080.396383,1071.485022,1079.805277,1104.014893,1115.405608,1115.093738,1119.155602,1119.158462,1128.434037,1137.934225,1136.66488,1137.116609,1111.549405,1101.942673,1104.031781,1123.965081,1133.392086,1127.743578,1119.576948,1112.504154,1125.422559,1146.197956,1166.889506,1166.307527,1156.210247,1133.986723,1151.549288,1163.362728,1191.473927,1175.220523,1179.933862,1200.944444
3059,441,Washington County,county,MD,MD,"Hagerstown-Martinsburg, MD-WV",24,43,816.9003463,807.1605583,805.3308122,813.20159,827.2151214,831.9765499,834.6571409,833.8113053,832.6910099,827.8360179,826.9577713,825.2089401,833.2003489,845.3979297,848.6418397,853.494428,845.2344831,848.7806057,842.6343684,845.0005454,844.2946211,843.5615102,846.6941863,843.9180131,846.1788186,847.0563736,852.7713926,860.1470995,859.288409,861.990787,860.1780752,863.944012,864.2185337,863.3138323,862.1863329,864.4998422,864.5319648,865.8890748,862.4169268,868.948121,874.8297957,882.9704705,882.8360612,880.3900067,879.879056,880.7761643,879.1071828,878.4037278,881.4982198,886.7398394,903.3227585,909.0049788,915.3387172,911.0812188,912.1447761,910.3793395,905.1271967,902.6693998,910.59224,911.8721205,906.6074004,906.8154134,916.8504708,937.101585,947.1855251,961.0409061,974.0515093,975.6475802,971.0721601,963.2999324,974.3584901,981.5995745,986.4007648,994.7507917,1004.430429,1033.239635,1051.269783,1064.386033,1075.129034,1081.882752,1096.533007,1106.973954,1125.563017,1137.561993,1143.255618,1150.847614,1158.833364,1184.624733,1184.116092,1191.996833,1181.359772,1205.528529,1224.220248,1253.696005,1270.097737,1302.901251,1288.867765,1287.30893,1284.833432,1305.259144,1309.688838,1308.661017,1287.509993,1292.406013,1306.56529,1323.894584,1321.511546,1293.129533,1314.810067,1326.196927,1359.664018,1353.797117,1387.541427,1395.668254
2527,442,Santa Fe County,county,NM,NM,"Santa Fe, NM",35,49,,,,,,,,,,,,,,1120.099996,1136.534836,1125.845951,1112.143521,1095.426802,1126.634386,1128.123686,1172.967883,1169.83139,1187.864853,1148.9616,1177.904969,1176.626115,1224.04205,1206.133832,1212.371125,1201.759448,1212.736158,1213.601355,1248.433129,1251.509512,1262.724324,1222.89481,1216.111805,1222.770192,1253.822503,1288.633075,1311.544981,1325.122486,1324.790519,1332.369112,1345.182197,1334.171452,1331.043869,1334.324839,1351.689494,1356.083054,1352.051942,1370.617353,1389.999367,1413.692122,1431.390994,1439.370946,1459.394731,1445.89611,1432.569863,1430.814928,1444.297772,1469.489486,1464.188262,1448.937987,1426.797596,1428.314454,1427.94593,1445.855013,1441.440076,1467.229768,1475.123037,1484.760173,1492.043782,1499.81844,1509.343832,1510.236051,1529.98015,1564.05081,1620.049661,1667.381482,1687.796727,1687.759553,1685.921917,1701.662658,1714.318003,1744.350814,1771.061216,1804.172628,1814.486084,1828.359735,1828.698124,1837.528752,1838.866535,1842.475476,1840.84564,1850.293519,1874.250354,1891.133834,1909.173726,1930.248944,1965.42088,1986.08772,1985.654291,1968.982059,1974.570975,1982.200816,1978.735185,1958.797659,1937.000115,1958.877209,1983.233324,1992.084272,1999.86882,2011.191838
2799,443,Merrimack County,county,NH,NH,"Concord, NH",33,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643.632493,1682.617605,1769.673856,1812.918245,1828.154467,1827.631344,1846.708115,1763.786112,1756.964776,1752.479762,1845.186978,1904.668057,1944.352632,1984.048207,1955.883719,1947.136552,1972.235229,1951.098781,1974.631737,1939.668936,1927.912802,1914.863046,1952.981466,2014.849778,2032.236193,2021.52713,2046.128591,2071.297919,2102.012987
2824,444,Penobscot County,county,ME,ME,"Bangor, ME",23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.6577027,977.8210937,989.3285035,1007.792827,1015.419051,1017.406655,1014.776122,1010.738514,1020.360292,1013.740858,1006.028392,1000.155813,999.4930727,1006.01203,1013.60009,1029.599907,1040.532999,1051.734594,1055.161388,1053.255217,1053.581626,1059.777236,1059.184969,1058.967958,1051.977104,1058.815422,1054.896605,1060.700699,1064.474762,1083.995095,1099.186468,1123.619629,1124.322338,1133.403149,1139.376383,1140.156618,1136.865442,1127.354079,1143.987125,1170.05728,1185.296727,1203.416957,1217.709882,1256.631877,1276.526219,1281.722996,1268.731563,1269.430232,1274.767093,1290.622878,1286.591847,1305.848296,1310.753406,1354.885159,1367.9998,1398.209949,1387.738757,1403.513532,1408.441673,1428.0854,1405.957636,1407.224168,1417.694606,1439.612923,1447.454688,1442.43729,1462.100088,1469.277154,1462.448975,1438.579216,1442.937379,1454.805928,1484.575107,1495.128259,1529.043871,1556.443023,1553.643193,1531.066926,1497.217349
938,445,Citrus County,county,FL,FL,"Homosassa Springs, FL",12,17,,,,,,,,,,,,,,,,889.8564653,892.6065418,911.4560683,909.0848942,915.2697336,919.321352,941.461441,960.2982696,963.8137921,960.8457818,962.5580583,975.8177311,985.726727,993.6516913,996.382391,1015.607252,1024.23966,1049.06919,1049.43337,1049.255268,1047.028631,1053.587324,1063.52139,1065.512989,1071.543633,1082.212018,1089.752938,1082.215198,1072.349905,1078.525805,1130.946167,1138.466657,1125.743436,1076.517437,1080.920905,1093.455585,1103.399119,1112.50633,1125.051109,1144.584012,1155.019568,1152.734977,1143.026406,1151.126106,1156.88755,1158.429409,1152.274474,1160.244976,1168.061768,1152.070702,1152.636951,1164.940608,1190.594335,1201.326191,1206.638787,1224.44576,1238.023967,1263.652946,1265.190112,1287.363626,1306.643979,1330.185799,1357.274062,1367.280544,1411.781821,1398.236828,1419.295841,1418.498662,1461.229535,1490.840512,1507.502955,1523.915938,1543.761534,1573.344033,1596.668081,1607.497259,1625.666475,1563.971734,1548.295341,1541.480365,1609.410468,1642.797937,1664.186888,1666.05417,1645.888823,1651.284446,1660.339064,1665.233864,1680.50137,1696.43242,1713.202246,1731.401763,1720.607792,1740.53161,1718.31511,1727.484641,1727.37674,1733.558776,1733.996398
580,446,Kings County,county,CA,CA,"Hanford-Corcoran, CA",6,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658.617862,1688.238465,1700.387444,1744.10375,1784.408945,1793.60631,1813.781505,1790.749579,1841.174692,1828.46741,1840.510586,1833.410038,1846.577036,1851.166345,1834.618898,1848.922337,1888.815004,1907.790532,1906.00906,1849.035629,1832.255924,1837.91202,1874.234688,1922.075798,1930.801235,1951.559829
1819,447,Johnson County,county,IA,IA,"Iowa City, IA",19,103,,,,,,,,,,,969.885926,968.1232311,978.6066823,962.0252078,972.5897438,974.8444768,979.9464863,976.0924878,974.6412336,967.0430919,952.4385973,936.7906894,946.954062,978.7255465,1002.889937,1005.011315,997.1851412,997.0220602,998.0418568,1003.772331,992.7898472,993.9667759,984.3159822,1004.971279,1012.551147,1028.185968,1025.876025,1026.34538,1024.031127,1026.962099,1020.728143,1014.176799,1008.284743,1002.486936,994.8502205,1005.093417,1024.001456,1034.036553,1032.32242,1029.491973,1038.035126,1034.880969,1023.750979,1019.187964,1008.495476,1018.866562,1017.183184,1031.68032,1035.707739,1041.165105,1043.855552,1041.012251,1039.964505,1035.163692,1032.904576,1031.480377,1035.230696,1036.600243,1029.071879,1035.544015,1039.37776,1059.594026,1061.510574,1066.495236,1067.185376,1068.601026,1068.490427,1070.80082,1069.47733,1071.827973,1073.719343,1085.883557,1097.857141,1110.727006,1118.151611,1115.219172,1108.845064,1104.329044,1116.120343,1125.125736,1129.717072,1129.141586,1126.868362,1135.943101,1145.051256,1164.521779,1168.532938,1167.642397,1164.466429,1171.640123,1176.568564,1174.318222,1171.727935,1181.007941,1191.620415,1198.43592,1197.648396,1203.434288,1205.18778,1215.33798,1223.004648,1229.822845,1231.754745,1226.796526
2173,448,Canadian County,county,OK,OK,"Oklahoma City, OK",40,17,1192.388924,1188.653852,1190.370258,1201.621747,1211.392266,1218.997195,1212.005141,1210.430859,1199.018699,1195.402212,1197.657038,1206.052084,1208.835817,1207.57949,1215.068003,1224.797708,1224.859021,1217.400671,1208.558983,1198.925796,1191.448273,1182.561556,1178.436033,1174.114112,1179.246363,1181.519599,1188.592955,1198.291328,1209.101645,1213.976437,1212.019371,1216.136122,1216.645382,1211.489514,1196.231681,1196.878234,1201.484157,1214.245457,1224.917486,1236.781676,1248.000486,1244.144129,1241.830506,1239.900815,1242.660631,1241.838233,1240.915442,1235.670614,1239.996301,1244.564326,1257.588756,1249.855159,1251.334545,1257.916607,1274.76195,1275.678566,1269.988053,1259.937568,1259.139321,1253.027693,1260.699175,1265.870601,1278.644342,1281.336114,1284.539701,1284.484902,1291.01631,1304.150554,1314.546132,1323.294064,1315.450944,1315.681689,1315.487142,1329.627738,1335.776251,1357.418151,1374.026653,1404.293203,1418.462686,1434.402599,1431.517117,1433.39007,1433.446884,1441.315322,1451.538354,1467.725541,1475.989898,1485.257994,1492.442899,1516.131718,1523.469887,1519.731587,1512.79406,1503.359744,1493.368285,1479.090354,1480.006373,1495.230643,1508.473603,1526.66675,1537.677949,1547.644105,1556.831288,1558.63826,1562.876025,1548.744112,1546.926685,1542.954259,1546.799772,1551.391473,1557.458025,1568.604362,1579.20529,1585.664819
